Job title,Company,Job type,Skills
Full Stack Developer,LMesh -,Full Time,"['AWS', 'Full Stack Development', 'Cloud', 'Software Development', 'React', 'Docker', 'JavaScript', 'Node.js']"
SAP FICO Consultant (Finacial & Control),Sphinx Glass -,Full Time,"['Analysis', 'Accounting', 'Business Administration', 'FICO', 'Finance', 'Financial', 'Information Technology (IT)']"
Senior Sales Account Manager,Target Integrated Systems -,Full Time,"['CRM', 'account manager', 'Sales', 'Sales Target', 'sales skills', 'Software', 'business', 'Communication']"
Software Tester - Fully Remote Job,Osus Group  -,Full Time,"['Quality Assurance', 'International Software Testing Qualifications Board', 'Software Testing', 'System Testing', 'Testing', 'Automation Testing', 'User Testing']"
R&D Mechanical Engineer,ecopower -,Full Time,"['Ansys', 'Design', 'Manufacturing', 'SolidWorks', 'CFD', 'FEA', 'Mechanical Engineering', '2D']"
Senior PHP Developer (Laravel),Sandah for micro finance -,Full Time,"['CSS', 'Engineering', 'Information Technology (IT)', 'Software', 'Java', 'Software Development', 'Software Engineering', 'Development']"
IT Administrator,Decorama -,Full Time,"['Information Technology (IT)', 'Computer Maintenance', 'Network Troubleshooting', 'Microsoft SQL Server', 'Network Administration', 'Networks', 'Networking', 'Kaspersky']"
Support Engineer,Wovee Technologies -,Full Time,"['Engineering', 'Information Technology (IT)', 'Remote truobleshooting', 'HPE', 'Aruba certificate', 'Aruba', 'wireless controller', 'Cisco Firewall']"
IT Help Desk Officer,Global Academic Foundation Hosting University of Hertfordshire UH -,Full Time,"['Communication skills', 'Computer Systems', 'English', 'Help desk', 'Information Technology (IT)', 'IT', 'technical', 'Windows', 'Installation']"
Backend Developer,WTDD -,Full Time,"['APIs', 'Node.js', 'PostgreSQL', 'MongoDB', 'OAuth', 'RBAC', 'RESTful APIs', 'GraphQL', 'backend']"
Senior Devops Engineer,Seoudi Supermarket -,Full Time,"['Engineering', 'Information Technology (IT)', 'Linux', 'Python', 'Software', 'Software Development', 'Git']"
Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German Health -,Full Time,"['SQL', 'python development', 'SAS', 'Tableau', 'Power BI', 'QlikView', 'Microsoft Excel', 'Microsoft Azure', 'AWS']"
Django Developer,Rehabitaire -,Full Time,"['AWS', 'API', 'Django', 'Git', 'Information Technology (IT)', 'RESTful', 'Python']"
Node JS Developer,Rehabitaire -,Full Time,"['Node.js', 'Software', 'Js', 'JavaScript', 'Information Technology (IT)', 'Git', 'SQL']"
Website Development / AI Developer,Avetti Commerce FZCO -,Full Time,"['ecommerce', 'Programming Language', 'it', 'Web Development', 'Web', 'Information Technology (IT)', 'AI', 'CMS', 'WordPress CMS']"
Dispensing Specialist - Pharmaceutical,APEX Pharma -,Full Time,"['SAP', 'Store Keeping', 'Supply Chain', 'Warehousing', 'Logistics', 'Management', 'Pharmaceutical']"
Procurement Manager,Al Andalous Pharmaceutical Industries -,Full Time,"['Procurement', 'Supply Chain']"
Full-stack Software Engineer,Nacita -,Full Time,"['full-stack engineer', 'software engineeer', 'angular', 'Agile', 'Java', 'nodejs', 'Kubernetes', 'Google Cloud']"
SQL Developer, Circle K -,Full Time,"['MS SQL', 'Cloud', 'SQL', 'Information Technology (IT)', 'Azure', 'BI']"
Odoo Developer (80% Remote),softprimes -,Full Time,"['HTML5', 'Software Development', 'Full Stack', 'Odoo', 'python']"
Oracle EBS Finance Manager - Techno Functional,Minapharm Pharmaceuticals -,Full Time,"['EBS', 'ERP', 'Information Technology (IT)', 'Oracle', 'business', 'CMA', 'Configuration', 'CPA', 'Finance']"
Pricing Specialist – Corporate Operations,Allianz -,Full Time,"['Pricing', 'Actuary']"
Technical support chemist,Imerys Ceramics Egypt  -,Full Time,"['Production', 'Chemistry', 'English', 'Testing', 'Technical Support']"
Continuous Improvement Engineer,Masria Digital Payment (MDP) -,Full Time,"['Continuous Improvement', 'Six Sigma', 'kaizen', 'Quality Control', 'Production', 'QC', 'Engineering']"
Pharmacist,GROOVY Medical Spa -,Full Time,"['Agent', 'Client Experience', 'Customer Experience', 'Customer Support', 'Customer Service', 'Communication', 'Pharmaceutical']"
Raw Material & Packaging Manager,APEX Pharma -,Full Time,"['Quality Control', 'quality', 'raw material', 'Raw Materials', 'Pharmaceutical', 'material', 'SOPS']"
University Secretary General,EELU -,Full Time,"['Administration', 'Education', 'English', 'Office management']"
Game Creator Lead,USAM -,Full Time,"['Graphic Design', 'games', 'Innovation', 'Online Education', 'Instructional Design', 'Game design', 'Gamification', 'Learning Experience Design (LXD)']"
IT Infrastructure Supervisor - Fayoum Site,Logistica -,Full Time,"['Information Technology (IT)', 'network', 'Information Systems', 'communication devices hard and software']"
Sr. Mechanical Design Engineer (Electrical Panels),Elsewedy industries -,Full Time,"['Mechanical', 'Mechanical Design']"
Research And Development Engineer,Sinoma-cdi -,Full Time,"['Research', 'TO']"
Microbiology Specialist / Senior Specialist - Environmental Sterile,Minapharm Pharmaceuticals -,Full Time,"['Pharmaceutical', 'quality']"
Senior Mechanical Site Engineer,Makeplace Developments -,Full Time,"['Mechanical', 'Mechanical Engineering', 'Engineering']"
Mechanical Design Engineer,ALSAKR for Trading and Manufacturing of Machinery and Equipments -,Full Time,"['SolidWorks', 'Mechanical Design Engineering', 'Machinery']"
Planning Engineer,ABCO Group  -,Full Time,"['Planning', 'Manufacturing', 'Project Management', 'Production Planning', 'Production', 'MRP']"
Medical Representative - October,El Nahar for Medical Solutions -,Full Time,"['Agriculture', 'Commerce', 'Communication', 'Communication skills', 'Medical', 'Pharmacy', 'Sales']"
Research Chemist,Jessour Misr -,Full Time,"['Chemicals', 'Chemist', 'English', 'R&D', 'Research', 'Analysis', 'Chemistry', 'Documentation', 'Manufacturing']"
Senior Full Stack ASP.NET Developer,Al Attiya Computer and Technology  -,Full Time,"['.Net', 'ASP.Net', 'Development', 'Software Development', 'SQL', 'JavaScript', 'jQuery', 'Entity Framework']"
Medical Sales Representative,Alfa Laboratories -,Full Time,"['CRM', 'English', 'Medical', 'Medical Sales', 'Microsoft Office', 'sales skills', 'Sales Target']"
Quality Assurance Manager,Mini Egypt - MiniMelts -,Full Time,"['quality', 'Quality Assurance', 'Quality Control', 'ISO']"
Mechanical Engineer,Mazloum -,Full Time,"['Mechanical Engineering', 'Maintenance', 'Engineering', 'Electrical Engineering', 'mechanics', 'Mechanical', 'Vehicles']"
IT Specialist,Intouch CX  -,Full Time,"['IT', 'Information Technology (IT)', 'Management', 'IT specialist,']"
Mechanical Design Engineer,Arcelormittal Egypt -,Full Time,"['Design', 'Engineering', 'Mechanical Design', 'Mechanical Engineering', 'Production Engineering', 'Production', 'Mechanical', 'SolidWorks']"
Medical Representative - Assiut,El Nahar for Medical Solutions -,Full Time,"['Medical', 'Sales', 'sales skills']"
Research Assistant,ESLSCA University -,Full Time,"['research assistant', 'reseach', 'assistant']"
IT Executive,VFS Global Egypt -,Full Time,"['Information technology', 'IT']"
Chief Technology Officer,In House -,Full Time,"['CTO', 'Computer Engineering', 'Information Technology (IT)']"
IT Help Desk Specialist,Parkville Pharmaceuticals -,Full Time,"['IT', 'Information Technology (IT)']"
Business Application Developer,Suez Canal container Terminal -,Full Time,"['application', 'application Developer', 'business application', 'Business Development', 'developer', 'Software Development']"
Product Owner,SellAbroad -,Full Time,"['Agile', 'Product Management', 'JIRA', 'Atlassian JIRA', 'Project Management', 'Scrum', 'Product']"
R&D Formulation Supervisor,Al Andalous Pharmaceutical Industries -,Full Time,"['Formulation', 'Pharmaceutical', 'Pharmacy', 'R&D formulation']"
Pharmacovigilance Executive (QPPV),PHARMASTARS -,Full Time,"['Regulatory Affairs', 'QPPV', 'Pharmacovigilance', 'EDA']"
Healthcare IT System Specialist,Specialized Seamless Services  -,Full Time,"['CCNA', 'PL/SQL', 'MSSA', 'Oracle', 'VMware']"
Senior Software Developer,Gila Electric -,Full Time,"['Design', 'Software Development', 'Engineering']"
QA Supervisor - Pharmacist (Validation & Compliance),EVA Cosmetics   -,Full Time,"['Pharmaceutical', 'Oracle', 'QA', 'Quality Assurance', 'CAPA', 'Investigations', 'Quality Auditing']"
Senior Content Creator,Madar Soft -,Full Time,"['content creator', 'copywriter', 'SEO', 'Social Media', 'Writing', 'Content', 'Creative']"
Field Researchers – Policy Development & Implementation,Aries Consult Ltd. -,Freelance / Project,"['Gender', 'Puplic Policy', 'Energy policy and energy transition', 'Education', 'Rule of Law', 'Control of Corruption', 'Transparency and Accountability']"
Mechanical Design Engineer - R&D,Cerebrus Corporation -,Full Time,"['Design', 'Drawings', 'Mechanical Engineering', 'SolidWorks', 'English', 'Mechatronics', 'Mechanical']"
Information Security Section Head,Nahdet Misr Publishing Group -,Full Time,"['computer', 'Information Technology (IT)', 'ISO']"
Power BI Developer in UAE,AClass Solutions -,Full Time,"['BI', 'Power BI', 'SQL Server Analysis Services', 'SQL Server Reporting Services', 'Oracle PL/SQL', 'Oracle', 'DAX', 'Microsoft Power BI']"
Power BI Developer,AClass Solutions -,Full Time,"['BI', 'Power BI', 'SQL Server Analysis Services', 'SQL Server Reporting Services', 'Oracle PL/SQL', 'Oracle', 'DAX', 'Microsoft Power BI']"
Piping & Mechanical Design Engineer,Dar El Meyah For Supplies and Contracting -,Full Time,"['Mechanical Engineering', 'piping', 'Mechanical', 'Design', 'Water Treatment', 'Piping Design', 'AutoCAD 2D']"
Oracle Apps Development Section Head,EVA Cosmetics   -,Full Time,"['Oracle EBS', 'Oracle APEX']"
Senior ERP Developer,Milkys - The Milkman -,Full Time,"['Software Development', 'Programming', 'ERP-NEXT', 'Python', 'R', 'Front-End Development', 'Web Development', 'Agile', 'APIs']"
Production Engineer ( food industry ),Pro Max -,Full Time,"['Engineering', 'Manufacturing', 'Mechanical Engineering', 'Production engineer', 'Production', 'Production Engineering', 'quality']"
Datacom – Networking presales engineer,MATECH -,Full Time,"['Information Technology (IT)', 'network', 'IT', 'Engineering']"
Mechanical Technical Office Engineer,Sinoma-cdi -,Full Time,"['AutoCAD', 'Mechanical', 'Mechanical Engineering', '2D', '3D', 'Design', 'Engineering', 'Management', 'Manufacturing']"
Power BI Developer,Techno Management -,Full Time,"['Power BI', 'SSIS', 'SSRS', 'ETL', 'Database', 'Information Technology (IT)', 'Microsoft Power BI', 'SQL']"
GIS Technician,Citylogix ME   -,Full Time,"['Arc GIS', 'GIS', 'QGIS']"
Software Engineer,AClass Solutions -,Full Time,"['ASP.Net', 'HTML5', 'JavaScript', 'REST', 'CSS', 'Sharepoint', 'Git', '.Net']"
Production Chemist,Eagle Chemicals -,Full Time,"['Production', 'Chemicals', 'Alkyd', 'Microsoft Office', 'Engineering', 'Chemical Engineering', 'English']"
Hiring for IT Executive (MacOS),Intouch CX  -,Full Time,"['Information Technology (IT)', 'IT', 'computer', 'Troubleshooting', 'PC Troubleshooting', 'Microsoft Windows', 'MacOS']"
Senior Toll Manufacturing Planning -New products,Global Napi Pharmaceuticals -,Full Time,"['Pharma', 'Manufacturing', 'Pharmaceutical', 'English']"
Moodle Developer,ECC Group -,Full Time,"['CSS', 'PHP', 'MySQL', 'HTML', 'Information technology', 'Moodle']"
Sales Technology Head (Business Intelligence),Arma-HSA -,Full Time,"['Analysis', 'ETL', 'Sales', 'SQL', 'BI', 'Integration']"
Regulatory Affairs Specialist,PHARMASTARS -,Full Time,"['Pharmaceutical', 'Pharmacovigilance', 'Regulatory Affairs', 'EDA', 'Egyptian Drug Authority', 'QPPV', 'CTD']"
Senior Sales Manager,Quanvex -,Full Time,"['Sales Planning', 'Digital Transformation', 'Engineering', 'Marketing', 'Negotiation', 'Business Analytics']"
iOS Developer,Epic Systems -,Full Time,"['Core Animation', 'Core Graphics', 'Objective-C', 'Software Development', 'Mobile Development', 'iOS']"
Product Development Leader,Easy Group For Health and Beauty Care -,Full Time,"['Supply Chain', 'Initiatives', 'Operations Management']"
Production and Planning Manager, Circle K -,Full Time,"['Production Planning', 'Production', 'Planning']"
React Native Developer,SAS -Partners-amca  -,Full Time,"['JavaScript', 'React Native', 'Typescript', 'Software Development', 'APIs', 'React', 'RESTful APIs', 'iOS Development', 'Android Development']"
Floor Manager,Global Food Investment -,Full Time,"['Food', 'Management', 'Production', 'Production Process', 'Production Engineering', 'Team management', 'Agricultural Engineering', 'Administration']"
Senior Talent Acquisition Specialist (Technology Sector),Global Brands -,Full Time,"['Human Resources', 'Recruitment', 'Talent acquisition', 'Talent', 'Interviewing', 'Applicant Tracking Systems', 'Communication', 'HR']"
Mechanical Maintenance Engineer,Outservingplus -,Full Time,"['Engineering', 'Maintenance', 'FMCG', 'Mechanical', 'Mechanical Engineering']"
HSE Manager,MATGR For Engineering And Trading -,Full Time,"['Health and Safety', 'HSE', 'Safety', 'Health', 'Safety Management', 'quality']"
Development & Delivery Manager,MOBILY INFOTECH LTD INDIA -,Full Time,"['project manager', '.Net', 'Mobile App Development']"
Nocode Architect / AI Developer,Avetti Commerce FZCO -,Full Time,"['React.js', 'nextjs', 'software', 'ecommerce', 'Programming Language', 'it', 'Development', 'Software Development', 'Web Development']"
Sales Specialist Dental Machines.,Vceram -,Full Time,"['Communication skills', 'Dental', 'Sales', 'sales skills', 'Sales Target']"
Business Developer / R&D Specialist - Giza,TOP EDUCATION ACADEMY  -,Full Time,"['Analysis', 'business', 'Business Development', 'Communication', 'Communication skills', 'Development', 'CRM', 'English']"
Java / Spring /Hibernate / AI Developer,Avetti Commerce FZCO -,Full Time,"['software', 'ecommerce', 'Programming Language', 'it', 'Development', 'Software Development', 'Web Development', 'Web', 'Engineering']"
React.js / Nextjs / AI Developer,Avetti Commerce FZCO -,Full Time,"['React.js', 'nextjs', 'software', 'ecommerce', 'Programming Language', 'it', 'Development', 'Software Development', 'Web Development']"
Database Administrator (DBA),Roya Developments -,Full Time,"['Database', 'DBA', 'EBS', 'Information Technology (IT)', 'Oracle', 'SQL', 'PL/SQL']"
Hiring Oracle Fusion ERP Manager,MOBILY INFOTECH LTD INDIA -,Full Time,"['ERP', 'Oracle Fusion', 'Project Management']"
Mechanical technical Office Section Head,New Plan  -,Full Time,"['Mechanical Engineering', 'Mechanical', 'technical']"
ERP Project Manager (odoo),Al Rabat -,Full Time,"['Project Management', 'Engineering', 'Information Technology (IT)', 'Odoo ERP', 'Odoo', 'Odoo Development', 'Software Development', 'Project']"
Mobile Application Developer - React Native,Esmart Company -,Full Time,"['Android', 'iOS', 'React', 'Software Development']"
Mechanical Engineer,Hyundai Rotem -,Full Time,"['Engineering', 'Maintenance', 'Mechanical Engineering', 'Railway', 'Rolling Stock', 'Preventive Maintenance', 'MMIS']"
IT Project Manager,Itechs Group -,Full Time,"['ms project', 'ERP', 'Engineering', 'IT', 'Project Management']"
Quality Control Testing Specialist,Grifols Egypt for Plasma Derivatives -,Full Time,"['Quality Control', 'English', 'Health']"
Business Consultant - (Business Development) Giza-Downtown,Property Finder Group -,Full Time,"['Business Development', 'Communication skills', 'Sales', 'CRM', 'Communication', 'English', 'Marketing', 'business', 'Real Estate']"
General IT Specialist,Blue Ventures -,Full Time,"['Information Technology (IT)', 'computer', 'Networks', 'Technical Support', 'IT']"
Senior Actuarial Analyst – P&C,Allianz -,Full Time,"['Actuarial', 'Insurance', 'P&C']"
Mechanical Maintenance Engineer,Minraf  -,Full Time,"['Electrical Engineering', 'Electrical Power', 'Maintenance', 'Installation', 'Engineering', 'Repair']"
IT Infrastructure Manager, Roaya -,Full Time,"['Customer Service', 'Information Technology (IT)', 'ITIL', 'Management', 'Service Delivery', 'Networking']"
Pharmaceutical Quality Assurance Senior Specialist,Pharmaceutical Egyptian Association -,Full Time,"['Analysis', 'Pharmaceutical', 'Quality Assurance']"
Quality Assurance / Pharmacist,Akhnaton Trading and distribution - EVA Group Limted -,Full Time,"['ISO', 'Pharmacy', 'QA', 'quality', 'Quality Assurance', 'Microsoft Office', 'Microsoft']"
